Title,Author,Status,Rating,Genres,Published,Finished on,Recommended by,Owned
A Man on the Moon,Andrew Chaikin,Finished,5,"History, Apollo",1994,2026-08-12,Maya,true
Carrying the Fire,Michael Collins,Finished,5,"Memoir, Apollo",1974,2026-07-03,Maya,true
Hidden Figures,Margot Lee Shetterly,Finished,5,"History, Biography",2016,2026-08-28,Sam,true
Failure Is Not an Option,Gene Kranz,Reading,,"Memoir, Apollo",2000,,Theo,true
Rocket Men,Robert Kurson,Finished,4,"History, Apollo",2018,2026-06-20,Priya,false
The Right Stuff,Tom Wolfe,Finished,4,"History, Mercury",1979,2026-05-11,Theo,true
Packing for Mars,Mary Roach,Finished,4,"Science, Humor",2010,2026-04-02,Sam,true
Pale Blue Dot,Carl Sagan,Reading,,"Science, Philosophy",1994,,Maya,true
Cosmos,Carl Sagan,Finished,5,"Science, Classic",1980,2026-03-15,Priya,true
An Astronaut's Guide to Life on Earth,Chris Hadfield,Finished,4,"Memoir, ISS",2013,2026-02-22,Sam,false
Endurance: A Year in Space,Scott Kelly,To read,,"Memoir, ISS",2017,,Theo,false
Liftoff,Eric Berger,Reading,,"History, Reusable rockets",2021,,Theo,true
Chasing New Horizons,Alan Stern and David Grinspoon,To read,,"Science, Pluto",2018,,Priya,false
Two Sides of the Moon,David Scott and Alexei Leonov,To read,,"Memoir, Space Race",2004,,Maya,false
The Martian,Andy Weir,Finished,5,"Fiction, Mars",2011,2026-01-08,Theo,true
Project Hail Mary,Andy Weir,To read,,Fiction,2021,,Sam,false
